# pool = Plasma_Microbiome_Study
# prefix = CMI
# platform = Illumina
# run_date = 2019-09-13
# center_name = UCSDCMI
# sample_sheet = 2019_09_06_CMI_Plasma_1-4_samplesheet
# well_conc_units = ng/uL
# sequencing_method = Sequencing by synthesis
# center_project_name = Plasma_Microbiome
# experiment_design_description = frozen plasma metagenomics
# library_construction_protocol = KHP
# latitude = 32.5
# elevation = 193
# longitude = -117.25
# latitude_units = Decimal degrees
# longitude_units = Decimal degrees
# volume_extracted_dna = 40
# volume_extracted_dna_units = uL
# physical_specimen_remaining = True
# human_dna_concentration_units = ng/uL
# bacterial_dna_concentration_units = ng/uL
# qiita_prep_deprecated = False
# qiita_owner = CMI
# volume_extracted_dna_unit = ul
# human_dna_concentration_unit = ng_per_ul
# sequencing_meth = Sequencing by synthesis
X.SampleID,well_conc,sample_well,sample_plate,sample_type
12692.150032,12692.150032,0.255,H16,CMI_Plasma_12692_P4,plasma
12692.150094,12692.150094,0.343,N14,CMI_Plasma_12692_P4,plasma
12692.150109,12692.150109,0.264,F18,CMI_Plasma_12692_P4,plasma
12692.150104,12692.150104,0.312,P14,CMI_Plasma_12692_P4,plasma
12692.150146,12692.150146,0.266,J20,CMI_Plasma_12692_P4,plasma
12692.150031,12692.150031,0.304,B18,CMI_Plasma_12692_P4,plasma
12692.150007,12692.150007,0.226,J14,CMI_Plasma_12692_P4,plasma
12692.150095,12692.150095,0.247,P18,CMI_Plasma_12692_P4,plasma
12692.150005,12692.150005,0.414,L14,CMI_Plasma_12692_P4,plasma
12692.150182,12692.150182,0.294,P16,CMI_Plasma_12692_P4,plasma
12692.150166,12692.150166,0.17,D22,CMI_Plasma_12692_P4,plasma
12692.150003,12692.150003,0.324,H14,CMI_Plasma_12692_P4,plasma
12692.150242,12692.150242,0.212,D24,CMI_Plasma_12692_P4,plasma
12692.150083,12692.150083,0.288,J18,CMI_Plasma_12692_P4,plasma
12692.150238,12692.150238,0.197,B24,CMI_Plasma_12692_P4,plasma
12692.150163,12692.150163,0.16,B22,CMI_Plasma_12692_P4,plasma
12692.150022,12692.150022,0.446,N16,CMI_Plasma_12692_P4,plasma
12692.150117,12692.150117,0.304,F16,CMI_Plasma_12692_P4,plasma
12692.150143,12692.150143,0.27,H20,CMI_Plasma_12692_P4,plasma
12692.150126,12692.150126,0.725,F20,CMI_Plasma_12692_P4,plasma
12692.150230,12692.150230,0.28,F14,CMI_Plasma_12692_P4,plasma
12692.150080,12692.150080,0.357,D18,CMI_Plasma_12692_P4,plasma
12692.150215,12692.150215,0.207,P22,CMI_Plasma_12692_P4,plasma
12692.150178,12692.150178,0.272,H22,CMI_Plasma_12692_P4,plasma
12692.150011,12692.150011,0.224,J16,CMI_Plasma_12692_P4,plasma
12692.150162,12692.150162,0.544,P20,CMI_Plasma_12692_P4,plasma
12692.150209,12692.150209,0.235,L22,CMI_Plasma_12692_P4,plasma
12692.150013,12692.150013,0.319,L16,CMI_Plasma_12692_P4,plasma
12692.150171,12692.150171,0.207,F22,CMI_Plasma_12692_P4,plasma
12692.150156,12692.150156,0.274,L20,CMI_Plasma_12692_P4,plasma
12692.150093,12692.150093,0.883,L18,CMI_Plasma_12692_P4,plasma
12692.150161,12692.150161,0.208,N20,CMI_Plasma_12692_P4,plasma
12692.150006,12692.150006,0.281,B16,CMI_Plasma_12692_P4,plasma
12692.150141,12692.150141,0.353,N18,CMI_Plasma_12692_P4,plasma
12692.150186,12692.150186,0.249,J22,CMI_Plasma_12692_P4,plasma
12692.150088,12692.150088,0.233,D16,CMI_Plasma_12692_P4,plasma
12692.150229,12692.150229,0.354,N22,CMI_Plasma_12692_P4,plasma
12692.150113,12692.150113,0.335,D20,CMI_Plasma_12692_P4,plasma
12692.150199,12692.150199,0.314,H18,CMI_Plasma_12692_P4,plasma
12692.150108,12692.150108,0.198,B20,CMI_Plasma_12692_P4,plasma
12692.150224,12692.150224,0.219,D14,CMI_Plasma_12692_P4,plasma
12691.PC49,12691.PC49,0.262,L17,CMI_Plasma_12691_P3,plasma
12691.PC54,12691.PC54,0.234,P23,CMI_Plasma_12691_P3,plasma
12691.PC35,12691.PC35,0.181,C24,CMI_Plasma_12691_P2,plasma
12691.PC36,12691.PC36,0.193,O24,CMI_Plasma_12691_P2,plasma
12691.PC55,12691.PC55,0.239,B6,CMI_Plasma_12691_P4,plasma
12691.PC13,12691.PC13,0.281,K17,CMI_Plasma_12691_P1,plasma
12691.PC59,12691.PC59,0.217,D10,CMI_Plasma_12691_P4,plasma
12691.PC02,12691.PC02,0.2,I5,CMI_Plasma_12691_P1,plasma
12691.PC12,12691.PC12,0.181,C17,CMI_Plasma_12691_P1,plasma
12691.PC09,12691.PC09,0.228,I13,CMI_Plasma_12691_P1,plasma
12691.PC33,12691.PC33,0.495,O20,CMI_Plasma_12691_P2,plasma
12691.PC18,12691.PC18,0.209,O23,CMI_Plasma_12691_P1,plasma
12691.PC03,12691.PC03,0.299,E7,CMI_Plasma_12691_P1,plasma
12691.PC23,12691.PC23,0.145,C10,CMI_Plasma_12691_P2,plasma
12691.PC41,12691.PC41,0.255,D9,CMI_Plasma_12691_P3,plasma
12691.PC50,12691.PC50,0.277,H19,CMI_Plasma_12691_P3,plasma
12691.PC40,12691.PC40,0.229,L7,CMI_Plasma_12691_P3,plasma
12691.PC51,12691.PC51,0.238,P19,CMI_Plasma_12691_P3,plasma
12691.PC44,12691.PC44,0.373,N11,CMI_Plasma_12691_P3,plasma
12691.PC21,12691.PC21,0.193,E8,CMI_Plasma_12691_P2,plasma
12691.PC25,12691.PC25,0.829,E12,CMI_Plasma_12691_P2,plasma
